Outcome,W1,W2,W3,W4,W5,Treatment,IV1,IV2
-0.793106141,-0.632003385,-0.691591877,-0.44744257,0.033943369,-0.521025923,0,1,0
0.140381339,-0.713831507,-0.098110702,-0.325728027,-2.871369334,0.957495093,1,0,0
2.914347045,1.526639727,-0.381241764,0.833669214,1.090781219,1.465664978,0,0,0
1.443324277,-0.019936989,1.009312096,-1.393476843,-1.269592086,1.609765683,1,1,0
2.207129577,1.630851347,-1.274066374,2.166271858,0.086694842,-0.468483352,1,1,0
-0.396836892,-0.941171224,0.983116019,-0.437211598,-0.58532357,-0.144991222,1,1,1
-0.21957934,-0.325280518,-0.613316695,-0.623960822,-0.802890547,-0.242886306,0,1,1
0.493089294,-1.898623524,-1.116712383,-1.1114778,-0.66939115,0.493623005,0,0,1
0.343118204,-1.248504025,-0.28230676,-0.078569816,1.723065013,-0.948663532,1,0,0
1.611034469,0.576790662,-1.13843757,-0.686416466,-0.404751596,-0.109004778,1,1,0
-1.65286568,-0.601275592,0.03054561,0.888721583,-1.554512096,-1.038769123,1,0,0
2.343331145,0.33102989,-0.896098179,0.777520472,-1.542676683,1.181032013,1,1,0
3.339270798,1.874802991,-1.778336164,2.832911755,2.410716042,1.000771956,0,1,1
1.189186091,-1.721047451,-0.352043818,-2.382251932,-1.182935437,0.509917572,1,0,1
2.139061675,1.297602247,0.104536494,-0.754673412,1.649802638,0.715585246,1,1,0
1.759440315,0.265828113,-0.263133062,-1.136219829,0.802513458,0.234720919,0,1,0
1.505001731,0.565320121,-0.382659249,0.338206888,0.683318819,0.03185642,1,1,1
-2.394751299,-2.193849163,1.664443953,0.640119665,0.252412783,-1.553913535,0,0,1
1.368670178,1.536857178,-0.501902132,0.713181727,-0.787761572,-0.235731793,1,1,1
0.438387369,0.07268054,0.268593379,-0.006529679,-0.766887217,0.115269278,1,0,0
3.451850982,1.203248784,-1.669074555,-1.253143678,0.400147062,0.193455601,1,1,1
-1.07959417,0.781045488,1.207600045,-0.997968657,-2.259906652,-0.918099256,1,1,1
2.632660899,0.186865049,0.075697171,-1.35362209,0.649155532,0.631968532,1,1,1
0.563033594,-0.609234136,-0.813294756,2.388450187,-0.402602851,1.472317392,0,0,1
0.413442593,-0.624825357,1.054968177,0.903639945,1.313854323,0.235691841,0,1,0
-1.152546349,-0.21421105,0.500604998,1.897943733,-1.051517772,0.680009368,0,1,1
-1.903627815,0.264388336,1.155000745,0.770265838,-1.439011242,-0.909604423,1,1,1
-0.37132207,-1.092501623,0.720536586,-0.810170265,0.300494282,-1.577312628,1,0,0
3.66142779,2.086632299,-1.197644552,2.421308304,0.805509024,2.286615528,0,1,0
2.41345016,1.209740569,-0.029222926,-0.293641035,1.716863726,-0.18884261,1,1,0
-1.472045323,-1.011016092,0.961596374,-1.343045541,-0.439844109,-0.909061256,1,0,1
0.993036556,-1.078208506,-0.345566366,-0.313826086,1.289336202,-0.250108121,1,1,0
1.366934119,2.050623917,0.12473181,-1.301132773,-0.237815169,-0.480574791,1,1,0
-0.754478658,-1.997136785,0.683435356,-2.209879651,1.322583941,-1.159700685,1,0,0
2.714985962,1.052477751,0.076214555,0.37832637,-0.282520503,1.296365226,1,1,1
-0.226202739,0.361049491,0.22824444,-0.746280432,-0.58820857,-0.731631872,1,0,1
-1.20648351,-1.51267441,-0.170562769,0.529491551,-0.207063938,-0.550170841,0,0,0
2.314079475,0.364557957,0.314199893,0.175857199,1.790484102,1.092866076,1,1,1
-2.269875812,-1.970039163,1.272819186,-1.350035819,1.048518719,-1.112870166,0,1,0
2.219865623,1.996656248,-1.120097217,1.109235174,-1.454424561,0.437272642,1,1,1
1.37806766,0.827423508,-2.258995686,-0.7466532,0.413598417,0.138628728,0,0,1
2.660061615,1.795891612,-0.22356996,-0.574409821,-0.614979934,1.086195596,1,1,0
0.753034695,-0.507108979,-0.145020288,-1.929152783,-0.34933681,0.828593114,0,0,1
-0.013296955,-0.886165107,1.331191698,0.94843881,1.011995274,0.926629308,0,0,0
0.299795593,0.179705602,1.431259528,1.316358479,1.507807852,-0.832947408,1,1,0
-0.988119467,0.313317006,1.320876888,-1.817686086,-0.021117755,-0.18312231,1,0,0
2.795537274,0.613383879,-1.662923859,1.484575819,0.206014835,-0.109828477,1,1,1
-0.683664397,-0.680133976,0.437150242,-0.447912244,0.874695484,-1.300414423,1,1,0
1.070377266,0.965940291,0.630139081,0.415747301,0.297975143,-0.095722448,1,1,1
3.211808274,-0.544061031,-0.82569343,0.591151224,1.906156707,0.588194519,1,1,0
0.851911639,0.72191155,-0.659868728,0.015957536,-1.747498674,0.587164018,1,1,1
0.994896387,0.602369281,-2.966890372,-1.006061225,0.189711978,-0.884455695,1,1,1
1.84847553,0.988297202,0.486480622,0.031107329,0.729003648,0.926896743,0,0,0
1.4212694,1.262040404,-0.474708569,0.720813808,0.328387446,0.708206257,0,0,0
-1.26689699,-0.082773917,1.267146701,1.486321664,-1.467277773,-0.625066204,1,1,0
1.637248868,1.694760735,0.156109059,-0.461318741,1.220110109,-0.408363284,1,0,1
-1.192441173,-0.992011513,0.660870859,-0.76662122,1.842395458,-2.281538967,1,0,1
-1.567738229,0.064821972,1.297858057,1.898737197,-0.998817339,-0.338956834,0,0,0
-0.707056457,-0.951759688,1.119866877,-0.17351672,0.430555133,0.550988429,0,1,0
2.193299787,0.252631376,-0.281661975,-1.058749633,-0.714569167,0.405765309,1,1,1
-0.381618498,0.340759658,1.069045034,-0.007091734,0.902025685,-1.512993961,1,0,1
-0.057554883,-0.348197828,0.408151311,1.585547549,-0.030606027,0.309951389,0,1,1
-1.333574483,-1.534703049,-0.979519882,0.591607173,-1.097740313,-0.622098259,0,1,0
-0.847677902,1.294598012,1.75746248,-2.830241495,-0.026388906,-1.907833499,1,1,0
2.194671875,-0.360235791,-0.083346831,0.601250335,0.740193817,1.929965258,0,0,1
