Outcome,W1,W2,Treatment,IV1,IV2
-0.244958631,-0.551170019,-1.432931979,1,0,1
-0.981860091,0.986185167,-1.272024097,1,1,0
-1.361592365,1.369057294,0.451612048,0,0,0
1.28995579,-2.469743747,1.112794814,0,1,0
-0.229569428,-1.359331454,-1.869437688,1,1,1
1.341481601,0.637768696,0.790420023,1,1,1
0.305933904,-0.928650279,0.052498596,0,1,0
1.932812418,1.865875269,-0.407997096,1,0,0
1.273473386,1.634921984,0.370508754,1,0,1
0.729489052,0.548779931,-0.52331332,1,1,1
0.053049865,1.251439469,0.914237527,0,0,1
0.47861339,-1.151630599,1.23296927,0,1,0
0.761523445,0.298773259,-0.328064282,1,0,0
-0.168248199,-0.153890954,-0.658166776,1,1,0
1.457168425,0.368122368,2.56798422,0,1,1
1.299129562,0.238842484,-0.438311428,1,1,1
1.195682431,0.928176318,-0.905648522,1,1,0
-0.305266802,0.231953453,-1.039229666,1,1,1
-0.595286541,0.043974918,-2.4924223,1,1,1
1.43995367,-1.143857355,-0.684752218,1,0,0
0.318328184,1.381814914,1.343346692,0,1,0
1.056888778,-0.203207913,-0.401434683,1,1,0
-0.430267146,0.261243129,-1.4452171,1,0,1
0.687820277,0.67116855,-0.138004776,1,1,1
2.02119744,-0.7266998,-0.624731397,1,1,1
0.51623643,0.77258465,0.809432877,0,1,0
0.7552047,-0.849802076,-0.141576463,1,0,1
1.400850827,-2.094986747,-0.519221535,1,1,0
0.041844171,-0.726706244,-1.688435695,1,1,0
0.518528188,0.009162445,0.873188674,0,0,1
0.068172313,-0.730409175,0.455089252,0,1,1
-0.330328191,0.774056504,0.637860341,0,0,1
1.093581856,1.292351394,0.08353907,1,1,1
-0.325455401,0.614763413,0.190383421,0,1,1
2.979677491,-0.626823002,0.493548865,1,1,0
0.509835697,-0.294347646,-1.369547347,1,1,0
2.441910508,-2.464581038,-0.819601103,1,1,1
0.194012439,-1.239489187,-0.68133236,0,1,1
1.755799028,1.369588389,1.838814427,1,1,1
1.196180005,-1.379009017,-0.427016728,1,1,0
1.283885317,-2.032028523,-0.424907563,1,1,1
-0.528205432,1.976720894,0.307557478,0,0,0
-1.376159791,-0.815906434,0.022487401,0,0,1
0.524052715,0.674500272,-0.773938069,1,0,0
0.774776433,-1.096540181,0.595934023,1,0,1
-0.329605308,1.727982389,0.302291045,1,1,1
1.377213819,-1.397739765,0.683226209,0,1,0
2.302320292,-0.202978562,0.746148199,1,1,1
-0.978585225,-0.416683044,-0.071978492,0,1,0
-1.150365132,-0.409166386,0.034708094,0,0,1
0.091573981,-0.836498694,-0.393965479,0,1,1
2.322786232,3.8631451,0.73985531,1,1,1
0.269905784,-0.744310462,-1.426990062,1,1,0
1.64800398,1.52535802,0.768816935,1,1,1
-1.347353415,1.684901093,-2.076354827,1,1,0
-1.187937404,-0.524118434,0.305924554,0,1,0
-1.131014307,-0.917263028,0.277249618,0,1,1
-0.100046634,1.488801488,-1.569415202,1,1,0
0.604194266,-0.350078813,0.099612383,1,1,1
0.063523928,-1.087769862,-1.467423813,1,1,0
-0.50132144,0.45928075,-0.917647293,1,1,1
-0.282262601,2.052562437,-0.270037526,1,0,1
-1.273932429,0.736434744,-0.60259503,0,1,1
1.040455763,0.367738455,-0.734174256,1,1,1
0.614520039,0.971945032,-1.655443458,1,1,0
0.909967135,-0.089011881,0.836032341,0,0,1
1.403193083,-0.246240529,-1.372868323,1,1,1
-0.453322915,-0.549215438,0.166888282,0,1,1
0.191026248,0.119805549,-0.990427269,1,1,1
0.937002357,1.514516176,0.522790042,1,1,1
1.088725957,0.408851326,0.960427524,0,1,0
1.655653596,-0.951359235,-0.040518117,1,1,1
0.157882003,1.42409147,-0.978650567,1,1,1
-0.293544238,0.132317734,-1.064563346,1,1,0
1.426451948,0.35123048,1.102839759,1,1,1
1.855963477,2.519680088,-0.278986626,1,1,1
0.378531976,0.197281964,-0.817659185,1,1,1
0.860691142,-0.485590006,-0.767834981,1,1,0
1.030927182,1.906475926,0.642376196,1,0,1
0.365367312,0.489538057,-0.784849146,1,0,0
1.519117226,-1.278645267,1.062606036,0,1,0
0.802363866,0.005548014,-0.738373602,1,1,0
0.234657432,-2.898607389,-1.428065046,1,1,0
1.965655322,0.538056323,-0.598935681,1,1,0
-2.177880403,-0.721552933,-1.42479183,0,1,0
0.191534757,0.579133495,1.436736552,0,1,1
0.893084594,4.653550807,0.66647537,1,1,1
1.508780106,0.285284108,-0.537957369,1,1,1
1.589590665,-0.302416408,-0.676810369,1,1,0
2.643147596,-0.992212832,0.630583109,1,0,1
0.089506615,-1.428302904,-0.934379449,1,1,1
0.316664584,0.092022965,-0.070155249,1,0,1
-0.068497616,-0.248903158,-0.554555888,1,0,1
